conceito_candidato,ocorrencias,esta_no_vocabulario
"um Atleta recebe Suspensão por entrada adicional, então a Equipe reduz exatamente um Atleta na Quadra de Jogo",1,False
"Quadra de Jogo durante Suspensão, então o Atleta recebe Suspensão adicional",1,False
Suspensão adicional por entrada durante Suspensão inicia imediatamente,1,False
entrada durante Suspensão causa Desqualificação do Atleta,1,False
a Equipe Adversária,1,False
"Posse da Bola no instante da entrada durante Suspensão, então a Equipe do Atleta suspenso sofre Redução Adicional",1,False
a Equipe do Atleta suspenso,1,False
entrada durante Suspensão reinicia a Partida com Tiro Livre para a Equipe Adversária,1,False
a Bola com qualquer parte do corpo durante Ato de Defesa dentro da Área de Gol,1,False
com a Bola dentro da Área de Gol,1,False
"às restrições de Jogador de Linha previstas nas Regras 7:2, 7:3, 7:4 e 7:7",1,False
a execução do Tiro de Goleiro,1,False
Área de Gol sem a Bola,1,False
Goleiro sem a Bola,1,False
do jogo na Área de Jogo,1,False
"um Goleiro participa do jogo na Área de Jogo, então o Goleiro",1,False
às regras aplicáveis aos Jogadores de Linha na Área de Jogo,1,False
Goleiro é_considerado fora da Área de Gol quando qualquer parte do corpo,1,False
a areia fora da Linha da Área de Gol,1,False
