conceito_candidato,ocorrencias,esta_no_vocabulario
a situação existente no instante do Sinal de Apito da Mesa,1,False
Punição Pessoal aplicada após o Sinal de Apito da Mesa,1,False
VÁLIDA,1,False
Infração durante Tempo Técnico produz a mesma consequência de uma Infração durante Tempo de Jogo,1,False
Árbitro comunica a parada do Cronômetro ao Cronometrista,1,False
exatamente três Sinais Curtos de Apito para iniciar Tempo Técnico,1,False
o Sinal Manual 14 para iniciar Tempo Técnico,1,False
Sinal de Apito para reiniciar a Partida após Tempo Técnico,1,False
Cronometrista inicia o Cronômetro após o Sinal de Apito de reinício,1,False
exatamente um Tempo Técnico de Equipe por Período,1,False
Tempo Técnico de Equipe,1,False
exatamente 1 minuto,1,False
Oficial de Equipe solicita Tempo Técnico de Equipe,1,False
Oficial de Equipe apresenta Cartão Verde para solicitar Tempo Técnico de Equipe,1,False
o centro da Linha Lateral durante a solicitação,1,False
aproximadamente 30 centímetros,1,False
aproximadamente 20 centímetros,1,False
exatamente uma letra T em cada face,1,False
Tempo Técnico de Equipe somente durante Posse da Bola,1,False
"uma Equipe perde a Posse da Bola antes do Sinal do Cronometrista, então o Tempo Técnico de Equipe",1,False
